id,date,url,title,content,ev,intent,대표질의,유사질의,final_label,hyundai_label,특이사항
pre_1018_2596,23.07.31. 08:22,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1243229&referrerAllArticles=false,전조등 led로 교체 추천하시나요?,신차패키지 썬팅 등등 썬팅샵 골라서 다 정했는데요전조등 교체는 마지막까지 고민되네요캐스퍼 실물을 못봐서 할로겐이 얼마나 누런지도 모르겠고 led가 얼마나 잘 보이는지 안보이는지도 모르겠고 ㅠ조언 부탁드립니다!!전조등 교체 추천인가요?,FALSE,옵션_추천,전조등을 LED로 바꿀 수 있나요?,전조등을 LED로 교체하는 것이 좋은가요?,opinions_trims,상품 탐색 _ 트림 / 옵션 / 옵션조합,
pre_1018_2498,24.03.16. 19:45,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1341049&referrerAllArticles=false,화이트색상 차관리하기 괜찮나요?,?이게 펄들어간게아닌 쌩화이트던데 관리하기어떤지요,FALSE,색상,[색상] 색상은 관리하기 어렵나요?,화이트 색상은 관리하기 어려울까요?,opinions_trims,상품 탐색 _ 디자인,
pre_1018_2573,23.11.10. 14:10,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1288082&referrerAllArticles=false,캐스퍼 아이보리가 모닝 아이보리색인가요?,안녕하세요 색상고민때문에 질문드려요 캐스퍼 아이보리를 실물로 본적없구 유튜브랑 사진으로만 봤어요사진상에는 밝은색 부드러운 화이트느낌이라화이트보다 이뻐보여서 계약했는데모닝 아이보리색보고 제취향이 아니라서 불안한맘에 여쭤봐요캐스퍼 실물 아이보리색상 모닝 아이보리랑 비슷한가요?가장실물에 가까운느낌이 어떤 색일까요?취소하고 화이트로 할까 다시 고민되네요 ㅜㅜ실물보신분들 답변부탁드려요~~,FALSE,색상,[색상] 색상이 어떤 느낌인가요?,캐스퍼 실물 아이보리 색상이 모닝 아이보리와 비슷한가요?,opinions_trims,상품 탐색 _ 디자인,
pre_1018_2226_dup1,21.09.15. 14:35,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=825053&referrerAllArticles=false,트렁크 문 질문이요,인스+터보 예약은 했는데혹시트렁크 문은 버튼으로 닫고 열고 되나요?,FALSE,스마트키,[트림]의 트렁크 문 버튼으로 열고 닫을 수 있어?,"모든 옵션에 문을 열 수 있는 버튼이 포함되어 있나요, 아니면 옵션을 선택해야 하나요?",info,상품 탐색 _ 트림 / 옵션 / 옵션조합,유사질의 복수
pre_1018_2546_dup2,24.07.30. 13:23,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1395392&referrerAllArticles=false,캐스퍼 신차 터보 디에센셜 vs 인스퍼레이션,"안녕하세요 다음달 8월 첫 신차로 캐스퍼 계약 예정인 예비 오너입니다.계약전 디에센셜, 인스퍼레이션 둘 중에 고민중인데 가격이 조금 비싸더라도인스퍼레이션으로 계약하는게 괜찮을까요???계약시 필수적으로 넣으면 좋은 옵션이 있다면 추천 부탁드립니다!오늘 하루도 좋은 하루 되세요!!",FALSE,옵션_추천,어떤 옵션을 장착하면 좋을까요?,계약 시 필수적으로 넣으면 좋은 옵션 추천 부탁드립니다.,opinions_trims,상품 탐색 _ 트림 / 옵션 / 옵션조합,유사질의 복수
pre_1018_2546,24.07.30. 13:23,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1395392&referrerAllArticles=false,캐스퍼 신차 터보 디에센셜 vs 인스퍼레이션,"안녕하세요 다음달 8월 첫 신차로 캐스퍼 계약 예정인 예비 오너입니다.계약전 디에센셜, 인스퍼레이션 둘 중에 고민중인데 가격이 조금 비싸더라도인스퍼레이션으로 계약하는게 괜찮을까요???계약시 필수적으로 넣으면 좋은 옵션이 있다면 추천 부탁드립니다!오늘 하루도 좋은 하루 되세요!!",FALSE,옵션_추천,어떤 옵션을 장착하면 좋을까요?,꼭 넣어야 할 옵션은 뭔가요?,opinions_trims,상품 탐색 _ 트림 / 옵션 / 옵션조합,유사질의 복수
pre_1018_2546_dup1,24.07.30. 13:23,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1395392&referrerAllArticles=false,캐스퍼 신차 터보 디에센셜 vs 인스퍼레이션,"안녕하세요 다음달 8월 첫 신차로 캐스퍼 계약 예정인 예비 오너입니다.계약전 디에센셜, 인스퍼레이션 둘 중에 고민중인데 가격이 조금 비싸더라도인스퍼레이션으로 계약하는게 괜찮을까요???계약시 필수적으로 넣으면 좋은 옵션이 있다면 추천 부탁드립니다!오늘 하루도 좋은 하루 되세요!!",FALSE,옵션_추천,어떤 옵션을 장착하면 좋을까요?,필수적으로 넣을 옵션이 있나요?,opinions_trims,상품 탐색 _ 트림 / 옵션 / 옵션조합,유사질의 복수
pre_1018_2653,24.08.05. 14:10,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1397623&referrerAllArticles=false,인텐스블루 컬러,"블루컬러가 너무 마음에 들어서 사려고했는데 신차로는 지금 주문이 안되더라구요..공정라인 때문에 일시적으로 블루,오렌지 주문이 안되는 걸까요?아예 색상 단종이면 중고라도 사려고 봐둔차가 있어서 고민이네요 ",FALSE,외관_색상,외장 색은 어떤 색으로 할까요?,[색상] 컬러는 단종인가요?,opinions_trims,상품 탐색 _ 디자인,유사질의 복수
pre_1018_2653_dup1,24.08.05. 14:10,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1397623&referrerAllArticles=false,인텐스블루 컬러,"블루컬러가 너무 마음에 들어서 사려고했는데 신차로는 지금 주문이 안되더라구요..공정라인 때문에 일시적으로 블루,오렌지 주문이 안되는 걸까요?아예 색상 단종이면 중고라도 사려고 봐둔차가 있어서 고민이네요 ",FALSE,외관_색상,외장 색은 어떤 색으로 할까요?,색깔 [색상]로는 계약할 수 없나요?,opinions_trims,상품 탐색 _ 디자인,유사질의 복수
pre_1018_2084,23.01.29. 16:36,https://cafe.naver.com/ArticleRead.nhn?clubid=25287782&articleid=1132582&referrerAllArticles=false,차박시 트렁크 문,차박을 하려고 하는데 트렁크문을 안에서 열고 닫고 할수 있나요? 차에서 밖으로 나갈때 트렁크 문으로 나가려고 하거든요~ 그리고 시동을 끄고 차 내부에 있을때는 문을 어떻게 잠글수 있을까요?,FALSE,트렁크_기능,트렁크문을 안에서 열고 닫고 할 수 있나요?,인스 터보 모델의 트렁크 문은 버튼으로 열고 닫을 수 있나요?,info,상품 탐색 _ 트림 / 옵션 / 옵션조합,
