buying,구매방법,구매 방법 (어떻게(구매통로)/어디서 캐스퍼를 계약/주문/구매할 수 있나요?),,
benefit,구매혜택,"구매하고 나서 받는 혜택 
- 브랜드KIT
- 썬팅 쿠폰
- 신차패키지 
- 신차패키지(썬팅 쿠폰) 절차 등에 대한 질문 (가치판단 질문 외) 
- 블루링크 
- 바디케어
주의: 썬팅 관련 현대차가 공식적으로 답변하기 어려운 썬팅샵 추천 요청 → ‘구매이후’",,"- 신차 구매시 썬팅 쿠폰 주나요?
- 브랜드 키트랑 썬팅 중 뭐가 더 나을까요?
- 쿠폰으로 나오는 썬팅 추천하시나요?
- 썬팅 쿠폰 아직 나오나요(주나요)? 
- 캐스퍼 구매 후 신차검수 및 썬팅만 패키지로 가능한가요?
- 출고 시 집근처 썬팅 업체에 전화해서 그쪽으로 신차 탁송시키고 작업받으면 될까요?"
promotion/event,프로모션/할인행사,"- 프로모션/할인 행사
- 기타 프로모션/할인 행사/ 구매혜택 관련 언급 없이 일반적인  “싸게 사려면 어떻게 해야하나요” 식",,"- 코리아세일페스타라는 이벤트가 11월에 있었다는걸 뒤늦게 알았어요..지금 새해 이벤트하긴하던데 그때만큼 못하죠? 매달 행사를 하는지 궁금하네요.. 
- 기획전에서 (할인해서) 파는 차량 ~~ 인가요? 
- 내년에도 약 200만원 정도 할인해서 구입이 가능할까요?
- 9월 할인행사가 10월에도 진행되나요? 기획전 행사 차량 할인 같은 게 10월에는 없나요?
- 디 에센셜 등급으로 구매하려 합니다. 조금이라도 저렴하게 구매하고 싶어 5월 할인차 보고 있는데 **그 외 저렴하게 구매하는 방법**이 궁금합니다.
- 이번달에 할인차 사고 하면 총 70 할인이나 금리 할인이던데 혹시 다음 달도 비슷하게 할까요?"
membership,카드/포인트/캐쉬백 혜택 관련,"- 프로모션/할인 행사
- 기타 프로모션/할인 행사/ 구매혜택 관련 언급 없이 일반적인  “싸게 사려면 어떻게 해야하나요” 식
- 블루멤버스 포인트
- 세이브오토",,"- 세이브오토 신청 했는데 적립이 나은지 캐시백이 나은지 정보 부탁 좀 드리겠습니다.
- 카드 일시불 결제할 예정인데 캐시백 소개도 부탁드립니다. 
- 캐스퍼 현대카드로 결제할 때 1.2% 할인과 적립 중 어떤 방식이 좋은가요? 블루멤버스 선할인에 대해서도 알고 싶습니다.
- 캐스퍼카드로 결제 시 더 저렴한지, 추가 혜택이 있는지 궁금합니다."
carmaster,카마스터 ,"카마스터, 크루
- 추천 
- 혜택",,
estimation,견적 관련 문의,"- 혜택 적용 후 견적 관련 
- 옵션 금액 등 적당한지?",,"- 디에센셜 1850만원 정도 견적나오던데요. 여기에 추가금이 얼마나 더 들까요?
- 지금 살까요, 나중에 사면 가격 더 오르지 않을까요? 
- 캐스퍼 차량의 디럭스 썬팅과 블랙박스, 보조배터리 결제금액 687,500원이 적당한지 궁금합니다."
ev_or_not,캐스퍼 EV구매 ,"- 전기차 살까요?
- 캐스퍼 EV 살까요, 가솔린/디젤 살까요",,
tax_beneift,세제 혜택,"- 세제 혜택 
- 경차(사랑)카드 : 유류세 환급되는 거임",,
test_driving,시승/전시,,,
info,모델&옵션 문의,,,
opinions_models,차량(캐스퍼) 가치판단,"캐스퍼 구매 여부에 대한 조언/의견 구하기
- (어느 조건에서) 캐스퍼를 살지말지 
- 캐스퍼 좋은지 나쁜지 경험 요구 
- 경차 살지말지",,"- 캐스퍼 장점이 뭔가요?
- 23년형은 어떤가요?
- 캐스퍼 세컨카로 구입하기 괜찮을까요?
- 착승감 어떤가요?
- 기획차량 살지 말지"
opinions_trims,옵션 가치판단,"- 옵션 해야할지 말지 
- 옵션 좋은지 나쁜지
주의: 옵션/기능 자체에 대해서 물어보는 것은 info 
주의: 트림(스마트, 인스퍼,...) 비교는 casper_alternative -> 레이블명 [opinions_options]으로 바꿀 예정",,"네비가 없으면 많이 불편할까요? 
인스퍼레이션 시트 색상 블랙과 카키 그레이 중에 어떤 것이 좋을까요? 그리고 액티브 플러스 추가하는 게 좋을까요? 
왕초보가 운전할 때 꼭 필요로 해야 하는 옵션들 추천 부탁드립니다. 
아이와 타려면 컴포트 있는 게 괜찮을까요? 
17인치 휠의 승차감이 안 좋은가요? 타고 계신 분들의 의견이 궁금합니다."
casper_alternative,"비교_캐스퍼(캐스퍼 트림 내 비교) 
- 트림 내용 오른쪽 사진 참고","- 캐스퍼 밴 or 일반 캐스퍼 
- 캐스퍼 터보 vs 캐스퍼 논터보 
- 트림: 캐스퍼 인스퍼 vs 스마트 vs 에센셜 ..
주의: 일단 제원(객관적) 차이에 대해 물어보는거는 info로 함",,인스퍼레이션 트림과 디에센셜 트림 중 어떤 것이 더 나을까요?
non_casper_alternative,비교_타브랜드(캐스퍼 아닌 모델과의 비교),,,
unclassified,기타,,,
